"filename", "language", "JSON", "HTML", "JavaScript", "CSS", "XML", "JavaScript JSX", "Markdown", "comment", "blank", "total"
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\Issue.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 175, 0, 1, 8, 184
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\Issues.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 63, 0, 0, 4, 67
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\LocationMap.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 153, 0, 3, 9, 165
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 132, 0, 3, 16, 151
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\MakeReservationPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\RepresentativeDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 97, 0, 0, 9, 106
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\Reservation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 221, 0, 0, 17, 238
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\ReservationDetailsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\Reservations.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 61, 0, 0, 5, 66
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\Root.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 45, 0, 5, 7, 57
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\Signup.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 188, 0, 1, 8, 197
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\Vehicle.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 515, 0, 5, 29, 549
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\Vehicles.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 71, 0, 0, 3, 74
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\ViewReservationPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\branch.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 419, 0, 7, 24, 450
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Router.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 146, 0, 4, 6, 156
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\browsingPage\BrowseHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 2, 22
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\browsingPage\LoginButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 4, 14
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\browsingPage\Modal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 4, 36
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\browsingPage\SearchBox.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 60, 0, 0, 8, 68
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\browsingPage\SortFilterButtons.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 175, 0, 49, 31, 255
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\browsingPage\Vehicle.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 3, 31
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\browsingPage\VehicleList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 52, 0, 0, 7, 59
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\checkIn\CheckVehicle.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 66, 0, 0, 6, 72
